S.No,City,TotalFundReleased,TotalFundUtilized
1,Anantapur,8.765,2.16
2,Chittoor,4.905,3.61
3,Eluru,4.625,3.42
4,Guntur,11.55,4.53
5,Kadapa,5.77,2.49
6,Kurnool,5.272,2.95
7,Nellore,14.855,7.36
8,Ongole,6.105,4.1
9,Rajamahendravaram,6.345,4.32
10,Srikakulam,3.59,3.19
11,Vijayawada,130.35,33.67
12,Visakhapatnam,129.37,0
13,Vizianagaram,4.6855,2.7
14,Guwahati,29.39,12.09
15,Nagaon,4.91,1.97
16,Nalbari,2.92,1.21
17,Silchar,3.92,2.48
18,Sibsagar,4.14,1.78
19,Patna,298.57,157.72
20,Gaya,9.4185,6.47
21,Muzaﬀarpur,14.01,5.39
22,Chandigarh,28.783,12.96
23,Korba,3.846,1.06
24,Bhilai Nagar,118.35,28.45
25,Raipur,125.35,51.86
26,Delhi,38.2185,10.77
27,Ahmedabad,365.54,261.93
28,Rajkot,83.1,64.61
29,Surat,261.15,254.23
30,Vadodara,98.15,81.98
31,Faridabad (NCR),73.53,0.78
32,Baddi,2.7725,2.6
33,Damtal,1.5725,1.05
34,Kala Amb,3.5625,3.33
35,Nalagarh,1.925509,1.8
36,Paonta Sahib,1.7225,1.47
37,Parwanoo,1.6225,1.33
38,Sunder Nagar,1.9315,1.71
39,Jammu,19.9215,11.93
40,Srinagar,60.93,4
41,Dhanbad,69.09,57.39
42,Jamshedpur,116.85,31.9
43,Ranchi,93.5,48.09
44,Bengaluru,541.1,5.47
45,Devanagere,10.05,4.78
46,Gulburga,15.8965,1.29
47,Hubli-Dharwad,16.7245,0.8
48,Bhopal,183.85,166.44
49,Dewas,6.6415,5.31
50,Gwalior,102.64,65.08
51,Indore,191.95,166.64
52,Jabalpur,112.25,104.18
53,Sagar,8.9935,2.58
54,Ujjain,12.61,3.22
55,Aurangabad,68.3,51.54
56,Akola,8.66,3.95
57,Amravati,25.005,12.87
58,Badlapur,2,0.15
59,Chandrapur,5.595,3.88
60,Greater Mumbai,938.59,680.32
61,Jalgaon,4.58,1.07
62,Jalna,5.415,3.09
63,Kolhapur,17.2,0.33
64,Latur,12.9965,5
65,Nagpur,142.05,6.32
66,Nashik,91.55,0
67,Navi Mumbai,9.45,26.43
68,Pune,271.3,70.48
69,Sangli,10.5,2.54
70,Solapur,31.725,7.18
71,Thane,0,41.49
72,Ulhasnagar,2.1,18.15
73,Vasai virar,72.35,13.46
74,Byrnihat,6.151,2.84
75,Dimapur,7.05,0.47
76,Kohima,6.65,1.15
77,Angul,0.3375,0.95
78,Balasore,3.741,1.16
79,Bhubaneswar,4.6237,20.53
80,Cuttack,40.23,14.23
81,Kalinga Nagar,4.6875,1.82
82,Rourkela,12.0575,6.55
83,Talcher,3.87,1.15
84,Amritsar,73.25,65.86
85,Pathankot/Dera Baba,4.73,1.66
86,DeraBassi,1.115,0.42
87,Jalandhar,30.045,2.63
88,Khanna,5.18,2.04
89,Ludhiana,97.75,56.48
90,Gobindgarh,5.269,2.8
91,NayaNangal,2.718,0.67
92,Patiala,14.86,2.96
93,Jaipur,325.85,260.71
94,Alwar,15,1.69
95,Jodhpur,80.34,55.99
96,Kota,101.2,63.34
97,Udaipur,14.7265,9.39
98,Chennai,367,367.51
99,Madurai,72.44,49.8
100,Trichy,50.35,46.36
101,Tuticorin,12.64,7.15
102,Hyderabad,454.3,365.6
103,Nalgonda,4.3965,1.62
104,Patencheru,0.48,0.39
105,Sangareddy,3.3575,2.03
106,Agra,175.92,128.63
107,Allahabad,180.78,141.72
108,Ghaziabad,136.25,97.08
109,Kanpur,249.34,209.47
110,Lucknow,385.83,199.5
111,Meerut (NCR),139.19,86.84
112,Varanasi,229.17,83.49
113,Anpara,2.185,1.53
114,Bareily,49.24,11.68
115,Firozabad,34.355,17.9
116,Gajraula,4.04,0.89
117,Gorakhpur,52.19,19.56
118,Jhansi,9.06,4.74
119,Khurja,13.665,3.8
120,Moradabad,57.195,15.23
121,Noida,26.42,1.19
122,Raebareli,11.3685,5.5
123,Dehradun,38.24,10.11
124,Kashipur,6.772,2.76
125,Rishikesh,8.6715,3.9
126,Asansol/Raniganj,67.6,42.55
127,Barrackpore,2,1.94
128,Durgapur,44.58,5.87
129,Haldia,10.325,4.43
130,Howrah,5,7.71
131,Kolkata,687.25,636.18
