S.No,City,State,No_of_Obs,Annual_PM10,Days_Exceeding_Indian,Days_Exceeding_WHO,Percent_Exceeding_Indian,Percent_Exceeding_WHO,NCAP_Status
1,Byrnihat,"Assam/Megha
laya",347,301,324,344,93,99,NCAP
2,Begusarai,Bihar,346,265,307,335,89,97,Non-NCAP
3,Greater Noida,Uttar Pradesh,365,228,325,359,89,98,Non-NCAP
4,Sri Ganganagar,Rajasthan,300,215,268,297,89,99,Non-NCAP
5,Chhapra,Bihar,361,212,262,313,73,87,Non-NCAP
6,Patna,Bihar,365,212,287,357,79,98,NCAP
7,Hanumangarh,Rajasthan,300,212,245,294,82,98,Non-NCAP
8,Delhi,NCT of Delhi,365,206,299,360,82,99,NCAP
9,Bhiwadi,Rajasthan,365,203,310,361,85,99,Non-NCAP
10,Faridabad,Haryana,365,196,309,365,85,100,NCAP
11,Katihar,Bihar,365,194,238,355,65,97,Non-NCAP
12,Munger,Bihar,358,193,294,338,82,94,Non-NCAP
13,Noida,Uttar Pradesh,365,193,295,355,81,97,NCAP
14,Bikaner,Rajasthan,332,191,286,328,86,99,Non-NCAP
15,Bettiah,Bihar,361,189,288,357,80,99,Non-NCAP
16,Samastipur,Bihar,361,186,258,345,71,96,Non-NCAP
17,Dharuhera,Haryana,363,184,289,356,80,98,Non-NCAP
18,Saharsa,Bihar,357,184,251,320,70,90,Non-NCAP
19,Ghaziabad,Uttar Pradesh,365,184,294,353,81,97,NCAP
20,Muzaﬀarpur,Bihar,365,180,268,338,73,93,NCAP
21,Sonipat,Haryana,347,179,283,341,82,98,Non-NCAP
22,Siwan,Bihar,363,177,268,345,74,95,Non-NCAP
23,Gurgaon,Haryana,365,176,292,363,80,99,Non-NCAP
24,Hajipur,Bihar,365,174,259,327,71,90,Non-NCAP
25,Tonk,Rajasthan,312,172,237,301,76,96,Non-NCAP
26,Arrah,Bihar,359,168,287,349,80,97,Non-NCAP
27,Meerut,Uttar Pradesh,365,168,269,332,74,91,NCAP
28,Araria,Bihar,364,167,227,302,62,83,Non-NCAP
29,Bhagalpur,Bihar,365,167,262,342,72,94,Non-NCAP
30,Bileipada,Odisha,365,165,294,360,81,99,Non-NCAP
31,Dausa,Rajasthan,307,164,248,303,81,99,Non-NCAP
32,Muzaﬀarnagar,Uttar Pradesh,338,163,269,327,80,97,Non-NCAP
33,Baghpat,Uttar Pradesh,354,158,259,329,73,93,Non-NCAP
34,Bharatpur,Rajasthan,332,156,228,308,69,93,Non-NCAP
35,Nalbari,Assam,350,155,228,305,65,87,NCAP
36,Purnia,Bihar,364,153,231,345,63,95,Non-NCAP
37,Rupnagar,Punjab,346,152,274,338,79,98,Non-NCAP
38,Bahadurgarh,Haryana,364,149,247,347,68,95,Non-NCAP
39,Kishanganj,Bihar,362,148,218,297,60,82,Non-NCAP
40,Singrauli,"Madhya
Pradesh",354,144,207,299,58,84,Non-NCAP
41,Motihari,Bihar,357,142,218,307,61,86,Non-NCAP
42,Rajgir,Bihar,364,141,234,323,64,89,Non-NCAP
43,Fatehabad,Haryana,311,139,193,303,62,97,Non-NCAP
44,Gwalior,"Madhya
Pradesh",362,139,224,335,62,93,NCAP
45,Aurangabad,Bihar,365,138,222,362,61,99,Non-NCAP
46,Manesar,Haryana,365,138,234,359,64,98,Non-NCAP
47,Ballabgarh,Haryana,360,138,198,328,55,91,Non-NCAP
48,Bulandshahr,Uttar Pradesh,365,137,244,333,67,91,Non-NCAP
49,Sikar,Rajasthan,301,136,182,275,60,91,Non-NCAP
50,Visakhapatnam,"Andhra
Pradesh",359,136,251,451,40,72,NCAP
51,Hisar,Haryana,319,136,199,312,62,98,Non-NCAP
52,Charkhi Dadri,Haryana,365,135,235,354,64,97,Non-NCAP
53,Baddi,"Himachal
Pradesh",356,135,236,352,66,99,NCAP
54,Panipat,Haryana,361,133,232,351,64,97,Non-NCAP
55,Navi Mumbai,Maharashtra,365,133,211,315,58,86,NCAP
56,"Mandi
Gobindgarh",Punjab,363,132,238,341,66,94,NCAP
57,Ludhiana,Punjab,365,132,229,360,63,99,NCAP
58,Jodhpur,Rajasthan,365,132,254,360,70,99,NCAP
59,Katni,"Madhya
Pradesh",331,132,206,299,62,90,Non-NCAP
60,Kalyan,Maharashtra,331,130,200,303,60,92,Non-NCAP
