City,Annual_PM25,MonitoredDays,PercentDays_AnnualNAAQS,PercentDays_AnnualWHO
Byrnihat,152,351,86,99
Begusarai,147,345,75,98
Delhi,101,365,58,100
Gurgaon,90,365,68,100
Saharsa,90,357,54,89
Katihar,90,365,55,92
Patna,89,365,64,100
Purnia,89,364,55,96
Siwan,87,364,55,96
Bettiah,86,356,50,95
Faridabad,86,365,53,100
Muzaﬀarnagar,85,343,62,100
Arrah,84,355,59,98
Muzaﬀarpur,83,365,62,97
Chhapra,83,363,48,96
Noida,83,365,50,99
Samastipur,82,363,54,95
Bhagalpur,82,365,47,94
Meerut,81,365,53,93
Hanumangarh,80,298,42,93
Dharuhera,79,363,58,98
Manesar,78,365,56,100
Ghaziabad,78,365,47,99
Baghpat,77,353,56,96
Bhiwadi,77,365,55,99
Agartala,76,360,61,100
Bahadurgarh,76,364,47,99
Munger,73,358,56,96
Araria,73,362,47,79
Rajgir,72,365,40,90
Vapi,71,364,46,100
Rohtak,69,363,44,98
Kaithal,69,365,49,98
Dholpur,68,306,32,96
Nalbari,67,356,46,87
Hisar,66,326,40,99
Bhiwani,66,365,46,95
Ballabgarh,66,360,39,96
Bharatpur,65,331,39,96
Gwalior,65,362,41,96
Jind,65,365,38,97
Fatehabad,65,329,39,95
Kurukshetra,63,361,45,98
Bileipada,63,364,49,100
Asansol,61,358,48,96
Yamunanagar,61,353,48,99
Chandigarh,61,365,40,98
Narnaul,61,358,39,97
Ludhiana,61,365,39,100
Sonipat,61,345,37,86
Ujjain,60,324,37,97
Kota,60,365,35,99
Rairangpur,60,310,50,92
Gummidipoondi,60,328,42,99
Baddi,60,356,32,98
Aurangabad,60,365,35,91
Bulandshahr,60,365,41,96
Amritsar,59,359,44,99
Gaya,59,365,34,98
Khurja,58,365,37,100
Guwahati,58,365,36,89
Kishanganj,58,363,38,85
Lucknow,58,365,41,97
Sasaram,58,345,33,90
Rourkela,57,363,39,98
Singrauli,57,365,40,89
Hajipur,57,365,39,90
Talcher,56,328,35,90
Keonjhar,56,365,38,96
Nayagarh,55,364,40,93
Jhunjhunu,55,300,29,95
Jaipur,55,365,30,99
Surat,54,336,40,86
Tonk,54,319,27,92
Pali,54,352,25,100
Chittorgarh,54,290,33,99
Vatva,54,359,33,99
Dausa,54,307,24,98
Suakati,53,361,35,99
Howrah,53,365,34,87
Visakhapatnam,53,358,19,86
Bikaner,53,332,27,94
Pune,52,347,40,99
Nagpur,52,365,35,94
Jalandhar,52,365,28,99
Hapur,51,365,29,85
Aurangabad,42,365,29,91
Panchkula,51,350,29,99
Ahmedabad,51,365,31,100
Chandrapur,51,365,30,91
Bathinda,50,361,24,90
Muradabad,50,365,32,99
Karnal,50,364,30,94
Durgapur,50,358,30,93
Rupnagar,50,348,29,93
Ankleshwar,50,342,38,96
Nagaon,49,324,25,86
Bhopal,49,365,27,97
Kanpur,48,365,29,98
GandhiNagar,48,365,26,99
Katni,48,330,28,93
Gorakhpur,48,365,24,99
Udaipur,48,365,19,100
Jabalpur,48,365,27,93
Mumbai,47,365,32,93
Manguraha,47,357,32,76
Kolkata,47,365,30,87
Baripada,47,355,34,79
Churu,47,296,23,77
Motihari,47,359,27,77
Ajmer,46,365,16,100
Moradabad,45,305,23,99
Jodhpur,45,365,24,96
Dewas,45,357,22,94
Banswara,44,305,20,98
Pithampur,43,356,22,98
Mandideep,43,356,24,92
Sikar,43,301,22,84
Sirsa,43,356,22,85
Patiala,43,365,24,93
Tensa,43,329,17,87
Prayagraj,42,365,22,98
Ambala,42,355,25,87
Indore,42,362,18,99
Panipat,42,362,26,80
Alwar,42,365,19,99
Khanna,41,365,20,95
Kalyan,40,354,24,88
Hosur,40,332,14,96
Vijayawada,40,300,18,87
Ratlam,39,346,12,96
Siliguri,39,361,17,94
Dharwad,39,340,22,88
Jhalawar,39,297,20,85
Firozabad,39,365,16,92
Hyderabad,38,365,2,100
Nashik,38,365,18,86
Rajamahendravaram,38,353,23,71
Rajsamand,38,293,15,89
Solapur,38,365,11,96
Jhansi,37,365,13,87
Thrissur,37,342,15,94
Tumakuru,36,307,13,77
Pratapgarh,36,299,11,94
Kochi,36,351,19,81
Bareilly,35,365,12,89
Kannur,35,294,0,100
Kollam,35,361,3,95
Kadapa,35,310,13,85
Dehradun,35,332,11,82
Manglore,34,364,12,92
Chittoor,34,364,12,86
Shillong,34,340,16,73
Tumidih,34,315,11,84
Agra,33,365,12,87
Amaravati,33,355,13,72
Tirupati,33,365,7,88
Kohima,33,350,12,81
Vrindavan,33,355,10,86
Bangalore,33,365,2,93
Mangalore,32,304,11,91
Brajrajnagar,32,310,6,84
Haldia,32,359,11,68
Yadgir,32,361,7,78
Raipur,31,363,4,81
Chikkaballarpur,31,352,10,73
Palwal,30,365,6,87
Sirohi,30,281,6,82
Karauli,30,300,6,74
Bilaspur,30,355,5,90
Haveri,30,360,10,60
Chikkaballapur,30,293,9,70
Eloor,30,282,0,90
Hubballi,29,365,7,78
Chennai,29,365,3,90
Salem,29,303,4,82
Sagar,29,362,6,80
Korba,28,363,7,65
Kalaburagi,28,343,7,77
Bhilai,28,363,5,75
Ooty,28,345,1,82
Davanagere,28,358,4,71
Palwal,28,305,3,86
Chhal,28,348,4,80
Srinagar,28,300,5,82
Belgaum,27,359,11,73
Barmer,27,306,8,71
Ramanagara,27,363,2,75
Satna,27,344,2,88
Varanasi,26,365,2,76
Kanchipuram,25,309,0,77
Rishikesh,25,315,2,81
Puducherry,24,365,3,68
Maihar,24,292,3,65
Cuddalore,24,278,4,76
Anantapur,24,358,0,79
Ariyalur,23,320,2,67
Bagalkot,23,365,0,100
Thiruvananthapuram,22,365,2,57
Mysuru,21,365,0,88
Mandikhera,21,357,3,52
Visakhapatnam,21,272,0,70
Shivamogga,20,365,0,88
Vijayapura,19,360,0,99
Raichur,19,312,0,62
Koppal,19,315,0,58
Madikeri,19,362,0,72
Kunjemura,19,342,1,58
Chikkamagaluru,18,363,0,58
Gadag,18,343,1,52
Chamarajanagar,18,365,0,88
Ramanathapuram,17,345,2,40
Sivasagar,17,363,0,44
Damoh,16,348,0,47
Gangtok,15,308,5,22
Aizawl,10,301,0,23
Silchar,10,316,0,27
Byrnihat,152,351,86,99
Begusarai,147,345,75,98
Delhi,101,365,58,100
Gurgaon,90,365,68,100
Saharsa,90,357,54,89
Katihar,90,365,55,92
Patna,89,365,64,100
Purnia,89,364,55,96
Siwan,87,364,55,96
Bettiah,86,356,50,95
Faridabad,86,365,53,100
Muzaﬀarnagar,85,343,62,100
Arrah,84,355,59,98
Muzaﬀarpur,83,365,62,97
Chhapra,83,363,48,96
Noida,83,365,50,99
Samastipur,82,363,54,95
Bhagalpur,82,365,47,94
Meerut,81,365,53,93
Hanumangarh,80,298,42,93
Dharuhera,79,363,58,98
Manesar,78,365,56,100
Ghaziabad,78,365,47,99
Baghpat,77,353,56,96
Bhiwadi,77,365,55,99
Agartala,76,360,61,100
Bahadurgarh,76,364,47,99
Munger,73,358,56,96
Araria,73,362,47,79
Rajgir,72,365,40,90
Vapi,71,364,46,100
Rohtak,69,363,44,98
Kaithal,69,365,49,98
Dholpur,68,306,32,96
Nalbari,67,356,46,87
Hisar,66,326,40,99
Bhiwani,66,365,46,95
Ballabgarh,66,360,39,96
Bharatpur,65,331,39,96
