S.No,State/UT,TotalDumpsites,LegacyWasteQty,RemediatedWasteQty,WasteToBeRemediated,Area,AreaReclaimed,AreaToBeReclaimed
1,ANDHRA PRADESH,14,45.68,14.98,30.71,377.66,33.0,344.66
2,ASSAM,4,18.59,0.0,18.59,53.93,0.0,53.93
3,BIHAR,4,13.52,4.13,9.39,114.2,51.0,63.2
4,CHANDIGARH,2,12.77,10.56,2.21,28.0,20.0,8.0
5,CHHATTISGARH,2,2.65,2.39,0.26,33.4,31.4,2.0
6,DELHI,3,203.0,76.98,126.02,202.0,0.0,202.0
7,GUJARAT,6,146.05,122.87,23.18,217.2,104.2,113.0
8,HARYANA,2,47.0,23.51,23.49,20.0,20.0,0.0
9,HIMACHAL PRADESH,1,0.4,0.28,0.12,2.5,0.0,2.5
10,JAMMU AND KASHMIR,3,17.37,1.7,15.67,66.5,34.0,32.5
11,JHARKHAND,3,20.48,0.0,20.48,40.15,0.0,40.15
12,KARNATAKA,10,114.07,0.0,114.07,339.82,0.0,339.82
13,KERALA,4,10.17,4.12,6.05,100.56,11.0,89.56
14,MADHYA PRADESH,8,10.43,1.97,8.46,38.62,5.75,32.87
15,MAHARASHTRA,28,491.67,116.18,375.5,925.19,262.26,662.93
16,NAGALAND,2,6.1,0.0,6.1,28.0,0.0,28.0
17,ODISHA,5,26.07,0.35,25.72,107.14,10.0,97.14
18,PUNJAB,11,44.17,8.99,35.18,127.25,14.0,113.25
19,RAJASTHAN,7,36.37,1.45,34.93,282.7,2.0,280.7
20,TAMIL NADU,11,120.4,33.54,86.86,822.28,163.0,659.28
21,TELANGANA,5,125.55,121.95,3.61,454.0,395.0,59.0
22,UTTAR PRADESH,18,68.34,49.8,18.54,436.27,260.98,175.29
23,UTTARAKHAND,4,5.01,0.26,4.75,25.89,2.0,23.89
24,WEST BENGAL,12,66.66,5.88,60.78,185.7,22.0,163.7
